Trial;Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Eye L/R;AOI Name;AOI Group;AOI Scope;AOI Order;AOI Size [px];AOI Coverage [%];Time to First Appearance [ms];Appearance Count;Visible Time [ms];Visible Time [%];Entry Time [ms];Sequence;Net Dwell Time [ms];Dwell Time [ms];Normalized Dwell [ms/Coverage];Glance Duration [ms];Diversion Duration [ms];First Fixation Duration [ms];Glances Count;Revisits;Fixation Count;Net Dwell Time [%];Dwell Time [%];Fixation Time [ms];Fixation Time [%];Average Fixation Duration [ms]
Trial001;19_naps_f.jpg;0.0;9988.9;MD216;Coral;Right;happy;;Local;1;119584;6.8;0.0;1;9988.9;100.0;3941.0;5;2911.3;2786.1;41098.6;2869.5;3019.8;133.5;2.0;1.0;6.0;29.1;27.9;2752.8;27.6;458.8
Trial004;19_naps_f.jpg;0.0;9997.6;MD218;CornflowerBlue;Right;happy;;Local;1;119584;6.8;0.0;1;9997.6;100.0;1747.4;4;4638.2;4346.0;64109.1;4446.3;4496.4;166.8;3.0;2.0;11.0;46.4;43.5;4237.6;42.4;385.2
Trial011;19_naps_f.jpg;0.0;9994.1;MD220;Crimson;Right;happy;;Local;1;119584;6.8;0.0;1;9994.1;100.0;3512.5;4;675.7;650.7;9599.0;692.4;742.3;258.6;1.0;0.0;2.0;6.8;6.5;642.3;6.4;321.2
Trial008;19_naps_f.jpg;0.0;9994.8;MD221;Cyan;Right;happy;;Local;1;119584;6.8;0.0;1;9994.8;100.0;2086.6;5;2235.8;1993.7;29408.8;2152.2;2419.3;717.4;3.0;2.0;7.0;22.4;19.9;1951.8;19.5;278.8
Trial008;19_naps_f.jpg;0.0;9991.7;MD222;DarkBlue;Right;happy;;Local;1;119584;6.8;0.0;1;9991.7;100.0;4210.7;4;2335.8;2252.4;33225.7;2394.2;2469.4;267.0;2.0;1.0;6.0;23.4;22.5;2102.3;21.0;350.4
Trial007;19_naps_f.jpg;0.0;9996.0;MD223;DarkCyan;Right;happy;;Local;1;119584;6.8;0.0;1;9996.0;100.0;1529.1;3;3528.3;3645.3;53772.5;3703.6;3795.4;191.9;2.0;1.0;12.0;35.3;36.5;3228.5;32.3;269.0
Trial006;19_naps_f.jpg;0.0;9990.8;MD224;DarkGoldenrod;Right;happy;;Local;1;119584;6.8;0.0;1;9990.8;100.0;2091.1;3;342.0;317.0;4676.2;358.8;400.4;317.0;1.0;0.0;1.0;3.4;3.2;317.0;3.2;317.0
Trial006;19_naps_f.jpg;0.0;9997.3;MD225;DarkGray;Right;happy;;Local;1;119584;6.8;0.0;1;9997.3;100.0;2723.3;3;1952.0;1943.5;28669.2;1993.6;2035.4;166.8;1.0;0.0;6.0;19.5;19.4;1834.9;18.4;305.8
Trial010;19_naps_f.jpg;0.0;9996.9;MD226;DarkGreen;Right;happy;;Local;1;119584;6.8;0.0;1;9996.9;100.0;812.5;2;3220.1;3178.3;46883.8;3278.3;3311.7;408.7;2.0;1.0;6.0;32.2;31.8;3144.8;31.5;524.1
Trial011;19_naps_f.jpg;0.0;9998.9;MD227;DarkKhaki;Right;happy;;Local;1;119584;6.8;0.0;1;9998.9;100.0;4217.9;4;1101.1;984.4;14520.3;1351.4;1434.8;200.3;1.0;0.0;4.0;11.0;9.8;617.3;6.2;154.3
Trial012;19_naps_f.jpg;0.0;10002.8;MD228;DarkMagenta;Right;happy;;Local;1;119584;6.8;0.0;1;10002.8;100.0;1435.6;2;2744.4;2836.3;41839.0;2902.9;2961.3;308.7;2.0;1.0;12.0;27.4;28.4;2728.1;27.3;227.3
Trial010;19_naps_f.jpg;0.0;9994.3;MD229;DarkOliveGreen;Right;happy;;Local;1;119584;6.8;0.0;1;9994.3;100.0;3729.5;3;1810.2;1710.1;25225.3;1893.6;2077.1;100.1;2.0;1.0;6.0;18.1;17.1;1493.1;14.9;248.8
Trial011;19_naps_f.jpg;0.0;9993.7;MD230;DarkOrange;Right;happy;;Local;1;119584;6.8;0.0;1;9993.7;100.0;1184.4;2;2435.8;2427.5;35808.8;2485.9;2544.3;175.3;1.0;0.0;6.0;24.4;24.3;2386.1;23.9;397.7
Trial002;19_naps_f.jpg;0.0;10000.4;MD231;DarkOrchid;Right;happy;;Local;1;119584;6.8;0.0;1;10000.4;100.0;1875.4;4;4087.5;4029.1;59433.4;4154.2;4196.0;517.2;2.0;1.0;18.0;40.9;40.3;3878.7;38.8;215.5
Trial007;19_naps_f.jpg;0.0;9997.4;MD232;DarkRed;Right;happy;;Local;1;119584;6.8;0.0;1;9997.4;100.0;1154.9;2;2719.4;2686.1;39623.0;2811.2;2911.3;225.3;2.0;1.0;11.0;27.2;26.9;2611.1;26.1;237.4
Trial002;19_naps_f.jpg;0.0;10000.4;MD233;DarkSalmon;Right;happy;;Local;1;119584;6.8;0.0;1;10000.4;100.0;1216.3;2;2978.0;2903.0;42822.2;3036.5;3169.9;208.6;3.0;2.0;10.0;29.8;29.0;2836.2;28.4;283.6
Trial006;19_naps_f.jpg;0.0;9994.1;MD234;DarkSeaGreen;Right;happy;;Local;1;119584;6.8;0.0;1;9994.1;100.0;1493.2;2;2244.5;2161.0;31877.0;2319.5;2419.5;200.3;3.0;2.0;9.0;22.5;21.6;2111.1;21.1;234.6
Trial011;19_naps_f.jpg;0.0;9994.4;MD235;DarkSlateBlue;Right;happy;;Local;1;119584;6.8;0.0;1;9994.4;100.0;776.7;3;2427.6;2369.1;34946.5;2402.5;2460.8;125.1;1.0;0.0;7.0;24.3;23.7;2268.7;22.7;324.1
Trial001;19_naps_f.jpg;0.0;10001.0;MD236;DarkSlateGray;Right;happy;;Local;1;119584;6.8;0.0;1;10001.0;100.0;1542.4;4;3428.5;3361.8;49590.7;3511.9;3687.2;408.8;4.0;3.0;10.0;34.3;33.6;3303.2;33.0;330.3
Trial012;19_naps_f.jpg;0.0;9997.1;MD237;DarkTurquoise;Right;happy;;Local;1;119584;6.8;0.0;1;9997.1;100.0;5417.3;4;750.7;725.9;10707.2;767.5;825.9;333.8;1.0;0.0;2.0;7.5;7.3;717.5;7.2;358.8
Trial009;19_naps_f.jpg;0.0;9992.5;MD238;DarkViolet;Right;happy;;Local;1;119584;6.8;0.0;1;9992.5;100.0;4311.7;3;3654.1;3570.4;52667.8;3745.5;3829.0;125.1;3.0;2.0;14.0;36.6;35.7;3411.8;34.1;243.7
Trial001;19_naps_f.jpg;0.0;9994.3;MD219;DeepPink;Right;happy;;Local;1;119584;6.8;0.0;1;9994.3;100.0;1502.4;4;4546.3;4337.9;63989.1;4488.0;4638.0;433.8;5.0;4.0;13.0;45.5;43.4;4221.0;42.2;324.7
Trial007;19_naps_f.jpg;0.0;9995.3;MD240;DeepSkyBlue;Right;happy;;Local;1;119584;6.8;0.0;1;9995.3;100.0;4364.7;4;1459.8;1443.1;21286.9;1501.4;1551.5;83.4;1.0;0.0;5.0;14.6;14.4;1409.7;14.1;281.9
Trial008;19_naps_f.jpg;0.0;10000.7;MD239;DimGray;Right;happy;;Local;1;119584;6.8;0.0;1;10000.7;100.0;3410.5;4;1643.3;1501.6;22149.9;1635.1;1752.0;150.2;2.0;1.0;5.0;16.4;15.0;1476.7;14.8;295.3
Trial003;19_naps_f.jpg;0.0;9988.5;WD234;DodgerBlue;Right;happy;;Local;1;119584;6.8;0.0;1;9988.5;100.0;2239.0;4;2636.0;2561.1;37779.7;2711.3;2811.2;659.1;4.0;3.0;8.0;26.4;25.6;2519.4;25.2;314.9
Trial002;19_naps_f.jpg;0.0;9999.9;WD235;Firebrick;Right;happy;;Local;1;119584;6.8;0.0;1;9999.9;100.0;4135.6;4;2243.7;2068.7;30515.2;2235.5;2344.0;367.0;1.0;0.0;5.0;22.4;20.7;1993.5;19.9;398.7
Trial006;19_naps_f.jpg;0.0;9997.1;WD236;ForestGreen;Right;happy;;Local;1;119584;6.8;0.0;1;9997.1;100.0;3106.8;3;2385.9;2385.6;35191.0;2427.4;2485.9;250.2;2.0;1.0;8.0;23.9;23.9;2293.8;22.9;286.7
Trial010;19_naps_f.jpg;0.0;9996.3;WD237;Gainsboro;Right;happy;;Local;1;119584;6.8;0.0;1;9996.3;100.0;1395.9;2;2077.2;2043.7;30146.6;2127.0;2202.2;400.4;2.0;1.0;7.0;20.8;20.4;2001.8;20.0;286.0
Trial011;19_naps_f.jpg;0.0;9999.4;WD238;Gold;Right;happy;;Local;1;119584;6.8;0.0;1;9999.4;100.0;3392.7;4;1810.1;1760.1;25963.6;1902.0;1977.0;358.6;2.0;1.0;4.0;18.1;17.6;1743.4;17.4;435.8
Trial008;19_naps_f.jpg;0.0;9992.4;WD239;Goldenrod;Right;happy;;Local;1;119584;6.8;0.0;1;9992.4;100.0;3210.4;3;3937.1;3945.6;58201.9;4029.1;4120.9;475.5;2.0;1.0;14.0;39.4;39.5;3613.5;36.2;258.1
Trial009;19_naps_f.jpg;0.0;9994.1;WD240;Gray;Right;happy;;Local;1;119584;6.8;0.0;1;9994.1;100.0;3445.7;3;959.4;784.2;11567.7;967.7;1026.1;433.9;1.0;0.0;2.0;9.6;7.8;767.6;7.7;383.8
Trial002;19_naps_f.jpg;0.0;9992.2;WD241;Green;Right;happy;;Local;1;119584;6.8;0.0;1;9992.2;100.0;3827.6;4;825.9;792.5;11690.2;851.0;901.0;483.7;1.0;0.0;2.0;8.3;7.9;784.1;7.8;392.1
Trial001;19_naps_f.jpg;0.0;9988.9;MD216;Coral;Right;angry;;Local;2;119584;6.8;0.0;1;9988.9;100.0;1763.8;3;1760.1;1718.4;25347.6;1801.8;1901.9;1017.7;2.0;1.0;3.0;17.6;17.2;1710.0;17.1;570.0
Trial004;19_naps_f.jpg;0.0;9997.6;MD218;CornflowerBlue;Right;angry;;Local;2;119584;6.8;0.0;1;9997.6;100.0;195.8;2;734.1;717.3;10581.6;742.5;784.2;141.7;1.0;0.0;3.0;7.3;7.2;700.6;7.0;233.5
Trial011;19_naps_f.jpg;0.0;9994.1;MD220;Crimson;Right;angry;;Local;2;119584;6.8;0.0;1;9994.1;100.0;734.7;3;3053.3;2886.2;42574.6;3128.2;3345.1;350.4;3.0;2.0;12.0;30.6;28.9;2760.8;27.6;230.1
Trial008;19_naps_f.jpg;0.0;9994.8;MD221;Cyan;Right;angry;;Local;2;119584;6.8;0.0;1;9994.8;100.0;827.0;3;1126.1;1184.5;17472.5;1459.7;1593.2;141.7;3.0;2.0;7.0;11.3;11.9;1117.7;11.2;159.7
