Trial;Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Fixation Count;Fixation Frequency [count/s];Fixation Duration Total [ms];Fixation Duration Average [ms];Fixation Duration Maximum [ms];Fixation Duration Minimum [ms];Fixation Dispersion Total [px];Fixation Dispersion Average [px];Fixation Dispersion Maximum [px];Fixation Dispersion Minimum [px];Saccade Count;Saccade Frequency [count/s];Saccade Duration Total [ms];Saccade Duration Average [ms];Saccade Duration Maximum [ms];Saccade Duration Minimum [ms];Saccade Amplitude Total [°];Saccade Amplitude Average [°];Saccade Amplitude Maximum [°];Saccade Amplitude Minimum [°];Saccade Velocity Total [°/s];Saccade Velocity Average [°/s];Saccade Velocity Maximum [°/s];Saccade Velocity Minimum [°/s];Saccade Latency Average [ms];Blink Count;Blink Frequency [count/s];Blink Duration Total [ms];Blink Duration Average [ms];Blink Duration Maximum [ms];Blink Duration Minimum [ms];Left Mouse Click Count;Left Mouse Click Frequency [count/s];Right Mouse Click Count;Right Mouse Click Frequency [count/s];Scanpath Length [px]
Trial001;23_ansp_f.jpg;0.0;9994.9;MD201;Coral;22;2.2;8859.0;402.7;834.1;166.8;1568.2;71.3;99.8;29.9;24;2.4;1034.3;43.1;175.1;8.2;223.4;9.3;50.3;0.0;3682.9;153.5;303.3;4.0;389.5;1;0.1;100.1;100.1;100.1;100.1;0;0.0;0;0.0;8015
Trial009;23_ansp_f.jpg;0.0;9994.9;MB202;CornflowerBlue;29;2.9;8919.8;307.6;675.6;100.1;2508.2;86.5;100.0;30.8;31;3.1;567.3;18.3;75.1;8.2;109.4;3.5;23.4;0.0;3801.2;122.6;787.7;3.9;295.0;4;0.4;441.9;110.5;141.7;75.0;0;0.0;0;0.0;5189
Trial005;23_ansp_f.jpg;0.0;9998.4;WD201;Crimson;18;1.8;2336.2;129.8;267.0;83.4;1554.0;86.3;99.8;53.8;20;2.0;6105.0;305.3;1952.0;8.2;609.1;30.5;172.4;0.2;1718.2;85.9;307.8;19.4;204.6;5;0.5;767.4;153.5;175.3;116.7;0;0.0;0;0.0;4335
Trial009;23_ansp_f.jpg;0.0;9995.6;MB203;Cyan;32;3.2;8454.9;264.2;742.4;83.4;2573.0;80.4;100.0;28.0;35;3.5;900.4;25.7;91.7;8.2;216.3;6.2;43.6;0.0;5348.0;152.8;729.7;4.2;260.3;4;0.4;634.0;158.5;175.3;133.4;0;0.0;0;0.0;7857
Trial009;23_ansp_f.jpg;0.0;9996.0;MD204;DarkBlue;30;3.0;9327.9;310.9;692.4;83.4;2373.6;79.1;99.7;29.4;29;2.9;659.1;22.7;66.8;8.2;92.7;3.2;16.7;0.0;2477.3;85.4;285.5;3.4;300.3;0;0.0;0.0;-;-;-;0;0.0;0;0.0;6103
Trial005;23_ansp_f.jpg;0.0;9996.3;MD205;DarkCyan;40;4.0;6156.8;153.9;450.5;83.4;3383.4;84.6;99.9;29.5;41;4.1;2919.5;71.2;291.9;8.2;452.5;11.0;57.7;0.1;4825.9;117.7;349.1;6.2;171.2;2;0.2;200.4;100.2;108.5;91.9;0;0.0;0;0.0;9228
Trial001;23_ansp_f.jpg;0.0;9996.5;MD206;DarkGoldenrod;28;2.8;9283.7;331.6;992.6;91.8;2234.0;79.8;99.6;27.0;28;2.8;601.5;21.5;83.5;8.2;97.4;3.5;16.4;0.0;2701.6;96.5;293.5;3.1;334.9;1;0.1;108.4;108.4;108.4;108.4;0;0.0;0;0.0;6494
Trial009;23_ansp_f.jpg;0.0;9989.6;MDP207;DarkGray;23;2.3;6739.3;293.0;892.5;100.1;1838.4;79.9;99.6;19.5;25;2.5;2778.5;111.1;1401.4;8.2;493.1;19.7;145.2;0.0;4176.5;167.1;657.8;0.6;282.2;3;0.3;358.6;119.5;150.1;75.1;0;0.0;0;0.0;7081
Trial009;23_ansp_f.jpg;0.0;9997.2;WD202;DarkGreen;15;1.5;9165.0;611.0;1434.6;91.8;1275.9;85.1;100.0;42.9;17;1.7;425.4;25.0;66.8;7.6;172.2;10.1;42.8;0.0;5163.7;303.7;1284.1;3.7;564.6;3;0.3;267.8;89.3;108.4;75.1;0;0.0;0;0.0;4265
Trial011;23_ansp_f.jpg;0.0;9996.3;MD208;DarkKhaki;39;3.9;8939.6;229.2;567.2;83.3;3277.1;84.0;99.9;43.6;38;3.8;1043.2;27.5;125.1;8.2;119.4;3.1;18.3;0.1;2742.2;72.2;297.1;9.2;226.8;0;0.0;0.0;-;-;-;0;0.0;0;0.0;6688
Trial005;23_ansp_f.jpg;0.0;10000.0;WD203;DarkMagenta;35;3.5;8250.5;235.7;750.8;91.7;2829.4;80.8;99.9;32.2;34;3.4;1743.2;51.3;250.4;8.2;197.2;5.8;53.1;0.0;2640.8;77.7;267.0;5.4;235.6;0;0.0;0.0;-;-;-;0;0.0;0;0.0;5524
Trial007;23_ansp_f.jpg;0.0;9996.7;MD211;DarkOliveGreen;27;2.7;9181.8;340.1;942.6;91.7;2142.9;79.4;99.5;24.2;27;2.7;634.9;23.5;116.8;8.2;90.1;3.3;15.4;0.1;2390.8;88.5;266.1;7.5;349.7;1;0.1;133.4;133.4;133.4;133.4;0;0.0;0;0.0;6067
Trial010;23_ansp_f.jpg;0.0;9992.1;WD204;DarkOrange;39;3.9;7240.2;185.6;442.1;83.4;3519.6;90.2;99.8;64.3;41;4.1;2528.2;61.7;458.9;8.2;246.9;6.0;56.6;0.0;3324.2;81.1;475.9;3.1;186.4;2;0.2;200.1;100.0;100.1;100.0;0;0.0;0;0.0;7628
Trial012;23_ansp_f.jpg;0.0;9999.4;MD212;DarkOrchid;32;3.2;9376.2;293.0;667.4;83.1;2721.0;85.0;99.7;32.2;32;3.2;609.5;19.0;58.4;8.2;85.7;2.7;14.7;0.0;2667.6;83.4;367.5;3.5;296.3;0;0.0;0.0;-;-;-;0;0.0;0;0.0;6124
Trial008;23_ansp_f.jpg;0.0;9999.9;WD205;DarkRed;38;3.8;6756.5;177.8;534.0;83.3;3304.2;87.0;99.7;53.3;40;4.0;2052.4;51.3;634.0;8.2;309.1;7.7;50.9;0.1;5258.0;131.5;413.5;6.9;195.1;8;0.8;817.6;102.2;133.5;75.1;0;0.0;0;0.0;5291
Trial011;23_ansp_f.jpg;0.0;9991.5;MD213;DarkSalmon;39;3.9;8892.4;228.0;609.0;91.8;3323.2;85.2;99.9;16.9;39;3.9;1092.9;28.0;141.7;8.2;148.7;3.8;26.0;0.0;3242.7;83.1;277.7;5.3;227.9;0;0.0;0.0;-;-;-;0;0.0;0;0.0;7940
Trial008;23_ansp_f.jpg;0.0;9994.3;MD208 (1);DarkSeaGreen;35;3.5;8859.3;253.1;650.7;91.7;2657.4;75.9;99.7;14.3;34;3.4;884.0;26.0;83.5;8.2;155.0;4.6;29.3;0.0;3804.8;111.9;350.7;3.1;267.7;1;0.1;91.8;91.8;91.8;91.8;0;0.0;0;0.0;9376
Trial005;23_ansp_f.jpg;0.0;9992.6;MD209;DarkSlateBlue;29;2.9;9058.0;312.3;667.2;83.5;2110.3;72.8;99.9;20.1;28;2.8;525.5;18.8;66.8;8.2;120.3;4.3;20.6;0.0;4300.0;153.6;837.9;4.6;337.1;3;0.3;300.3;100.1;125.1;75.1;0;0.0;0;0.0;6725
Trial003;23_ansp_f.jpg;0.0;9996.6;MD214;DarkSlateGray;32;3.2;7082.2;221.3;609.0;83.4;2809.1;87.8;100.0;27.3;34;3.4;2268.8;66.7;275.2;8.2;393.9;11.6;82.5;0.1;3543.1;104.2;460.4;8.1;229.0;4;0.4;383.8;96.0;125.1;75.1;0;0.0;0;0.0;4583
Trial001;23_ansp_f.jpg;0.0;9990.6;MD215;DarkTurquoise;28;2.8;9251.3;330.4;825.8;125.1;2180.8;77.9;99.8;34.4;28;2.8;633.7;22.6;75.0;8.2;126.8;4.5;17.4;0.0;3796.8;135.6;551.0;5.5;334.6;1;0.1;100.2;100.2;100.2;100.2;0;0.0;0;0.0;7132
Trial012;23_ansp_f.jpg;0.0;9995.3;MD216;DarkViolet;29;2.9;9256.6;319.2;775.9;83.5;2438.0;84.1;100.0;34.3;29;2.9;541.8;18.7;83.4;8.2;77.9;2.7;17.4;0.0;2417.3;83.4;347.5;3.5;307.8;1;0.1;191.9;191.9;191.9;191.9;0;0.0;0;0.0;5143
Trial010;23_ansp_f.jpg;0.0;9997.2;WD206;DeepPink;32;3.2;7357.4;229.9;634.0;83.5;2294.8;71.7;99.3;30.7;32;3.2;1401.5;43.8;150.1;8.4;375.9;11.7;45.0;0.0;7880.2;246.3;708.0;5.5;268.8;4;0.4;450.6;112.6;141.8;91.7;0;0.0;0;0.0;12798
Trial006;23_ansp_f.jpg;0.0;9990.5;WD207;DeepSkyBlue;27;2.7;6295.8;233.2;850.9;91.7;2185.1;80.9;99.7;21.0;34;3.4;1326.6;39.0;217.0;8.3;286.8;8.4;35.5;0.1;7034.7;206.9;746.4;7.0;244.7;4;0.4;1317.9;329.5;634.0;141.7;0;0.0;0;0.0;7173
